"GMD","Team","Year","Result","For","Aga","Diff","HTf","HTa","Opposition","Ground","Match.Date","diff.Date","Year.WR","TO.6Day","Team.Opp","diff.Date.Opp","Year.WR.Opp","TO.6Day.Opp","diff.Date.adv"
"Stade de France 11-Feb-06","France","06","won",43,31,12,29,3,"v Ireland","Stade de France","11-Feb-06",6,0.8,TRUE,"Ireland",7,0.8,FALSE,-1
"Millennium Stadium 12-Feb-06","Wales","06","won",28,18,10,14,6,"v Scotland","Millennium Stadium","12-Feb-06",8,0.2,FALSE,"Scotland",7,0.6,FALSE,1
"Murrayfield 25-Feb-06","Scotland","06","won",18,12,6,3,3,"v England","Murrayfield","25-Feb-06",13,0.6,FALSE,"England",14,0.4,FALSE,-1
"Stade de France 25-Feb-06","France","06","won",37,12,25,8,12,"v Italy","Stade de France","25-Feb-06",14,0.8,FALSE,"Italy",14,0,FALSE,0
"Lansdowne Road 26-Feb-06","Ireland","06","won",31,5,26,11,5,"v Wales","Lansdowne Road","26-Feb-06",15,0.8,FALSE,"Wales",14,0.2,FALSE,1
"Lansdowne Road 11-Mar-06","Ireland","06","won",15,9,6,12,9,"v Scotland","Lansdowne Road","11-Mar-06",13,0.8,FALSE,"Scotland",14,0.6,FALSE,-1
"Millennium Stadium 11-Mar-06","Wales","06","draw",18,18,0,15,15,"v Italy","Millennium Stadium","11-Mar-06",13,0.2,FALSE,"Italy",14,0,FALSE,-1
"Stade de France 12-Mar-06","France","06","won",31,6,25,16,3,"v England","Stade de France","12-Mar-06",15,0.8,FALSE,"England",15,0.4,FALSE,0
"Millennium Stadium 18-Mar-06","Wales","06","lost",16,21,-5,13,6,"v France","Millennium Stadium","18-Mar-06",7,0.2,FALSE,"France",6,0.8,TRUE,1
"Rome 18-Mar-06","Italy","06","lost",10,13,-3,7,10,"v Scotland","Rome","18-Mar-06",7,0,FALSE,"Scotland",7,0.6,FALSE,0
"Twickenham 18-Mar-06","England","06","lost",24,28,-4,8,11,"v Ireland","Twickenham","18-Mar-06",6,0.4,TRUE,"Ireland",7,0.8,FALSE,-1
"Rome 03-Feb-07","Italy","07","lost",3,39,-36,3,22,"v France","Rome","03-Feb-07",322,0.4,FALSE,"France",322,0.8,FALSE,0
"Twickenham 03-Feb-07","England","07","won",42,20,22,17,10,"v Scotland","Twickenham","03-Feb-07",322,0.6,FALSE,"Scotland",322,0.2,FALSE,0
"Millennium Stadium 04-Feb-07","Wales","07","lost",9,19,-10,9,12,"v Ireland","Millennium Stadium","04-Feb-07",323,0.2,FALSE,"Ireland",323,0.8,FALSE,0
"Murrayfield 10-Feb-07","Scotland","07","won",21,9,12,9,6,"v Wales","Murrayfield","10-Feb-07",7,0.2,FALSE,"Wales",6,0.2,TRUE,1
"Twickenham 10-Feb-07","England","07","won",20,7,13,14,0,"v Italy","Twickenham","10-Feb-07",7,0.6,FALSE,"Italy",7,0.4,FALSE,0
"Croke Park 11-Feb-07","Ireland","07","lost",17,20,-3,11,13,"v France","Croke Park","11-Feb-07",7,0.8,FALSE,"France",8,0.8,FALSE,-1
"Croke Park 24-Feb-07","Ireland","07","won",43,13,30,23,3,"v England","Croke Park","24-Feb-07",13,0.8,FALSE,"England",14,0.6,FALSE,-1
"Murrayfield 24-Feb-07","Scotland","07","lost",17,37,-20,10,24,"v Italy","Murrayfield","24-Feb-07",14,0.2,FALSE,"Italy",14,0.4,FALSE,0
"Stade de France 24-Feb-07","France","07","won",32,21,11,23,14,"v Wales","Stade de France","24-Feb-07",13,0.8,FALSE,"Wales",14,0.2,FALSE,-1
"Murrayfield 10-Mar-07","Scotland","07","lost",18,19,-1,9,13,"v Ireland","Murrayfield","10-Mar-07",14,0.2,FALSE,"Ireland",14,0.8,FALSE,0
"Rome 10-Mar-07","Italy","07","won",23,20,3,13,7,"v Wales","Rome","10-Mar-07",14,0.4,FALSE,"Wales",14,0.2,FALSE,0
"Twickenham 11-Mar-07","England","07","won",26,18,8,9,12,"v France","Twickenham","11-Mar-07",15,0.6,FALSE,"France",15,0.8,FALSE,0
"Millennium Stadium 17-Mar-07","Wales","07","won",27,18,9,18,15,"v England","Millennium Stadium","17-Mar-07",7,0.2,FALSE,"England",6,0.6,TRUE,1
"Rome 17-Mar-07","Italy","07","lost",24,51,-27,12,20,"v Ireland","Rome","17-Mar-07",7,0.4,FALSE,"Ireland",7,0.8,FALSE,0
"Stade de France 17-Mar-07","France","07","won",46,19,27,20,14,"v Scotland","Stade de France","17-Mar-07",6,0.8,TRUE,"Scotland",7,0.2,FALSE,-1
"Croke Park 02-Feb-08","Ireland","08","won",16,11,5,10,3,"v Italy","Croke Park","02-Feb-08",322,0.4,FALSE,"Italy",322,0.2,FALSE,0
"Twickenham 02-Feb-08","England","08","lost",19,26,-7,16,6,"v Wales","Twickenham","02-Feb-08",322,0.6,FALSE,"Wales",322,1,FALSE,0
"Murrayfield 03-Feb-08","Scotland","08","lost",6,27,-21,6,17,"v France","Murrayfield","03-Feb-08",323,0.2,FALSE,"France",323,0.6,FALSE,0
"Millennium Stadium 09-Feb-08","Wales","08","won",30,15,15,10,6,"v Scotland","Millennium Stadium","09-Feb-08",7,1,FALSE,"Scotland",6,0.2,TRUE,1
"Stade de France 09-Feb-08","France","08","won",26,21,5,19,6,"v Ireland","Stade de France","09-Feb-08",6,0.6,TRUE,"Ireland",7,0.4,FALSE,-1
"Rome 10-Feb-08","Italy","08","lost",19,23,-4,6,20,"v England","Rome","10-Feb-08",8,0.2,FALSE,"England",8,0.6,FALSE,0
"Croke Park 23-Feb-08","Ireland","08","won",34,13,21,14,6,"v Scotland","Croke Park","23-Feb-08",14,0.4,FALSE,"Scotland",14,0.2,FALSE,0
"Millennium Stadium 23-Feb-08","Wales","08","won",47,8,39,13,8,"v Italy","Millennium Stadium","23-Feb-08",14,1,FALSE,"Italy",13,0.2,FALSE,1
"Stade de France 23-Feb-08","France","08","lost",13,24,-11,7,13,"v England","Stade de France","23-Feb-08",14,0.6,FALSE,"England",13,0.6,FALSE,1
"Croke Park 08-Mar-08","Ireland","08","lost",12,16,-4,6,3,"v Wales","Croke Park","08-Mar-08",14,0.4,FALSE,"Wales",14,1,FALSE,0
"Murrayfield 08-Mar-08","Scotland","08","won",15,9,6,9,3,"v England","Murrayfield","08-Mar-08",14,0.2,FALSE,"England",14,0.6,FALSE,0
"Stade de France 09-Mar-08","France","08","won",25,13,12,13,6,"v Italy","Stade de France","09-Mar-08",15,0.6,FALSE,"Italy",15,0.2,FALSE,0
